LOCATION;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BEL;38705.1067959147;44319.165448813;48303.397956286;44760.2912443709;44184.946353964;47410.5669277464;44670.5606845101;46757.9518559598;47764.0715120833;41008.296719472;42012.6227191016;44198.4823908691;47542.7695163068;46591.4916067396;45205.3359408051;
BEN;856.054916559873;966.203618310158;1125.42613398072;1088.75790573459;1036.53451502404;1130.27325128015;1145.14010479477;1251.20976745379;1291.41018480579;1076.79669785585;1087.28733148547;1136.59387178448;1241.82529800958;1219.51550596905;1291.04097215441;
BFA;473.449868166334;535.062279451535;643.404581023036;624.175164544582;647.836095537879;751.172770411005;758.000426972403;787.469438309085;792.84623742527;653.32726813947;688.250696258197;734.996267960528;804.500537821516;796.115206827676;857.932729650223;
BGD;509.640189887604;558.051840707954;634.987069668507;702.264419644314;781.153577677298;861.762162181077;883.117129615718;981.860851354457;1118.87380783368;1248.45330989613;1401.56463513179;1563.76781861826;1698.13208078712;1855.74009422319;1961.6137487886;
BGR;4523.0508329806;5885.10434781837;7265.73549682997;6988.23332468094;6853.00285388669;7849.16528274432;7432.47876568071;7681.93461995882;7901.78587639382;7074.68102325059;7569.47881476759;8366.29322145748;9446.70077185518;9879.26853313318;10079.2033812203;
BHR;19307.5089373876;20976.442287272;23066.4509824376;19355.9210050895;20722.0704900745;22514.202716483;23654.3695877495;24744.296958551;24989.437527708;22634.0856475674;22608.4525623673;23742.9373424159;24085.955988096;23551.9300857404;20409.9528047731;
 The;30279.3922080481;30713.7980618188;31472.2855356015;30627.3277467412;28552.5171624714;28443.8884756689;28005.9124040903;29485.8642228279;28583.0232976179;30065.1602023609;31776.0555852485;31732.9191396131;32376.5091722572;33290.028135413;33799.4176940891;25194.0251444381
BIH;3416.51237566203;4193.36801082253;5090.9458340499;4714.69374593021;4635.5101947972;5092.5547231941;4777.06691374907;5129.6635340307;5330.35507495756;4729.68995905382;4994.97155093444;5394.26894391382;6070.34908129292;6119.76234462222;6079.73828544838;
BLR;3847.43412382153;4735.65760793999;6377.36973201232;5352.5839116007;6033.6862392722;6527.17386871642;6953.13251493684;7998.12523878099;8341.39967861093;5967.05220384914;5039.68188628499;5785.67067254068;6360.06247301284;6837.71782606351;6424.15217642722;
BLZ;4155.32388497209;4252.39540382101;4404.30819823872;4186.51999809315;4270.78008466035;4423.4968423614;4505.60059312987;4568.64122799115;4718.43658122355;4770.23265563888;4856.97324853112;4945.85769867226;5001.42215663433;5078.80994441772;4115.17700795622;
BMU;95221.8588720301;104287.387498459;106935.486341979;101407.764031934;101875.28407346;97774.1620717428;98431.8651810241;99471.6388978631;98467.683993982;102005.62564189;106885.878489327;111820.581466347;113023.185594268;117098.446325474;107079.479836627;
BOL;1218.87407027713;1372.62836843372;1715.2083925524;1754.20946375615;1955.46018156049;2346.33784403698;2609.880562178;2908.2003704458;3081.87882321413;3035.97165489786;3076.65643989367;3351.12434384125;3548.59078021377;3552.06814321502;3133.09980321504;
BRA;5886.39152194816;7348.18796290712;8831.18364277674;8597.79433526264;11286.071540212;13245.387369564;12370.2232548476;12300.3867121004;12112.8349554875;8813.98980647828;8710.06328995352;9928.67589653405;9151.38173161536;8897.55296585529;6796.84454227877;
BRB;15199.5675286062;16770.6610309974;17092.5821408414;15885.410181888;16056.3709766031;16458.3532105715;16249.6739490585;16451.2793094473;16489.0722373387;16524.899501274;16900.0482858522;17391.6689084614;17745.2553725928;18148.4978451054;15373.8547035017;
BRN;30979.9628427354;32663.3923711414;37934.6764481019;27956.0051426256;35270.6421390658;47055.960643203;47739.5576931563;44740.8594244355;41725.8675220155;31164.0362528468;27158.4056535724;28571.608291419;31628.4762566009;31085.9619255901;27442.95382794;
BTN;1330.97744400874;1757.19049597895;1828.1546768491;1819.19730959964;2258.18643535953;2563.261223801;2538.94951919964;2472.72475320595;2652.22565438023;2752.63017233678;2930.5749227006;3286.59674376682;3243.47743748718;3322.86332871934;3000.77932702976;
BWA;5521.99060810445;5832.73705168476;5713.54393106428;5255.77653269313;6434.81248526822;7617.31004132551;7050.57347186681;7224.91273728564;7495.22086608805;6402.91018338391;6982.91749241303;7296.09214157008;7503.8785883646;7203.06422122998;6404.89993159074;
CAF;354.670863314704;404.374542914498;464.561204695005;474.705627543055;488.421735800876;551.749721946219;565.80120711394;380.29791114378;424.449131659484;377.422917680195;402.191645130502;450.900657858547;475.953813864813;467.908032277798;492.79587119399;
CAN;40504.0607253203;44659.8951408034;46710.5055759013;40876.3101540295;47562.0834253057;52223.696112356;52669.0899632316;52635.1749580433;50955.9983232404;43596.1355365546;42315.6037056806;45129.4292980922;46548.6384108296;46328.6718408497;43258.2638715601;
CEB;9481.91681417883;12021.4524133531;14599.3197480112;12317.6573407904;12623.5603867693;13912.67052971;13020.7438173854;13718.1839991524;14164.074448906;12522.6610570363;12831.4099368112;14254.7381019007;16047.2796999215;16346.5618056396;16180.9679202136;
CHE;59300.6172165015;65359.5192218269;74572.232372807;72083.167695454;77117.126014204;91254.0347609687;86547.6708907265;88109.4867524037;89684.7075795936;84776.1421659748;83073.2800824812;83352.0886533412;86388.4049527184;85334.5194620909;87100.4148213751;
CHI;63243.3738330439;74458.7946660519;;;;;;;;;;;;;;
CHL;9464.54850677338;10502.3507082138;10751.4816046617;10208.9079714327;12808.0383396885;14637.2334407932;15351.5407387153;15842.936483624;14670.9889142695;13574.1692377524;13753.5921485096;14998.8170563218;15888.144355397;14741.7144039936;13231.7042069381;
CHN;2099.22943460734;2693.97006340427;3468.30460207977;3832.23643246922;4550.45310775599;5614.35213522114;6300.61511825789;7020.33848453658;7636.11660125502;8016.43143498003;8094.36336675194;8816.98690451989;9905.34200389253;10143.8381719921;10434.7751874839;
CIV;1347.98882431013;1500.16780515301;1738.19210063268;1689.3447616219;1701.47570153035;1744.93889692888;1684.78158627038;1935.946845307;2156.64588308951;1972.54568305836;2013.38144761651;2111.02655726645;2314.05095836881;2276.3323939018;2325.72370502247;
CMR;1147.4365999036;1277.51680707357;1439.5478041268;1411.47457192714;1352.30227450638;1465.14578817708;1403.52291521783;1527.75125667954;1604.21403479187;1382.5097900241;1413.2559568153;1469.44749980724;1585.24053445546;1533.09568807789;1537.13021832773;
 Dem. Rep.;218.386226715772;255.433043197206;286.330472470967;327.563721821663;298.619691614791;334.02157774666;387.082476958569;424.60037381496;457.963747509632;486.787095119436;497.317039077365;471.318822463486;467.07423172679;560.807358238634;580.716870645391;543.950392515803
 Rep.;1834.88001382638;2153.49174337774;2262.85441019541;2892.41696234479;2336.16095749982;3073.55778366557;3557.5561698838;3923.09350860946;3883.74684787403;3776.48556784338;2447.53930827041;2050.99341477232;2169.99150353963;2606.6153307839;2369.72949429109;1846.13129708695
COL;3741.09283661274;4714.07305530504;5472.53652992426;5193.24145795078;6336.70947398467;7335.16693447606;8050.25537167051;8218.34784431478;8114.34392085161;6175.8760297026;5870.77795724165;6376.70671552601;6729.58333198168;6424.9794924083;5334.55604233917;
COM;1114.94528131922;1240.09252846752;1393.21603163764;1344.73040600031;1316.49121286421;1447.94514377496;1403.36025196698;1505.33729247147;1513.8303792438;1242.58560784999;1273.05095200255;1323.81484301294;1428.29046324322;1401.54231196814;1420.66174747221;
CPV;2361.38010115423;3186.77993467023;3721.21999284574;3517.43015558829;3378.3234334576;3740.37410269948;3447.48310007387;3616.03556968932;3588.62558418407;3043.03138156811;3130.99875340636;3289.90220261281;3616.46453749713;3603.77524058462;3064.27238842819;
CRI;5227.46595193306;6103.74191704459;6901.38830613085;6801.03673459666;8227.12749377141;9229.83451669454;10075.0046155735;10744.0910189201;10847.1696672929;11642.7780517194;12011.2227544354;12225.5744931403;12485.423896168;12693.8279560372;12140.8541545754;
CSS;8201.29050985631;9054.85175593343;10225.3802149575;8578.71693323928;9253.2139893894;9920.91010522619;10187.301392945;10296.5275947938;10381.475531393;10141.4153938201;9574.22148611917;9800.96588647345;10234.2111791244;10291.8073190241;8873.52192883729;
CUB;4683.56906667746;5208.71838769431;5411.26949201186;5529.66937511797;5730.35426413345;6139.71878325885;6497.31476421306;6837.71167985881;7133.33767875907;7694.01463710941;8060.79659761513;8541.21368643707;8824.19400843842;9125.8786794952;9477.85287326771;
CUW;;;;;;20146.3864122001;20587.397358013;20462.7179539813;20258.0096948833;19951.3279030441;19555.3658492891;19457.5315232205;19630.8934873019;19701.270377457;16752.9652643364;
CYM;82801.5426595892;85433.0309402124;85188.337040308;77400.4214448146;73351.7567693109;72329.6613326945;72777.1484890568;73514.6686831216;74990.4332223775;76284.1939286359;78471.6287315261;81513.1630224977;86059.7392168454;91392.6425875166;85082.5268555478;
CYP;26729.3234045802;31244.9262239722;35397.3636837901;32109.2425148579;31023.6383309791;32396.3857437121;28912.1569390403;27729.1926990735;27163.3329657606;23408.3366816249;24605.9208328767;26608.8750916456;29334.1109348657;29206.0767190775;27527.8453055825;
CZE;15261.7975911138;18466.5479299216;22804.5776774507;19861.6974295256;19960.0684872157;21871.2660754128;19870.8012123403;20133.1691431353;19890.9199056648;17829.6983223668;18575.2320271915;20636.199952435;23419.7356136502;23660.1488068317;22933.4995909236;
DEU;36353.8803343631;41640.0808695147;45612.7106221441;41650.3678297162;41572.4559481507;46705.8957963353;43855.8544658618;46298.9229177341;48023.8699845462;41103.2564363768;42136.1207907991;44652.5891722719;47973.6076235097;46794.8992915603;46252.6893044892;
DJI;967.679583807819;1052.71911700699;1223.85236343692;1267.31739354562;1343.27512498519;1451.54808090617;1559.24065068226;2312.7209484209;2464.29490507649;2658.94924528237;2802.16620395446;2914.35819688602;3141.86171059002;3414.9161775746;3425.48417585803;
DMA;5518.42319991872;5951.86341333777;6468.94476681711;6903.14580614942;6967.36495514661;7065.46037237599;6849.45593336945;7016.380071478;7317.48614321654;7597.28889409255;8080.96862341186;7274.517730717;7687.46296348005;8516.28003895161;7003.85902147233;
DNK;52026.9995142723;58487.0549677696;64322.0635020842;58163.2768762815;58041.3984363385;61753.647131977;58507.5080517852;61191.1937042028;62548.9847332908;53254.8563700916;54663.9983719195;57610.0981801135;61591.9288698958;59775.7350964515;61063.3164304238;
DOM;4109.03359145391;4707.79505245725;5087.98321278434;5039.40312212985;5555.39201393816;5913.42664885493;6110.36657603383;6238.13236658362;6608.82550130065;6921.52059432776;7280.88361041225;7609.35327534023;8050.64407623416;8282.11713050921;7268.1969096591;
DZA;3478.71000237566;3950.5129931247;4923.63161541179;3883.27090043586;4480.78631766464;5455.67940349747;5592.22011465753;5499.58733105334;5493.05669453687;4177.8895415169;3946.45244712537;4109.69821695727;4142.01855842917;3989.66827645236;3306.85820838104;
EAP;1958.51950542194;2457.16025516595;3084.87668271133;3321.87756573802;3997.01047172287;4850.32836616365;5365.23717709164;5870.79135814991;6277.73349339095;6488.66696825982;6575.514120343;7131.63134907767;7924.23430084574;8145.3454372488;8254.67087102428;
EAR;2059.47823121881;2400.67502909037;2666.19604487302;2534.64403828454;3026.30790933642;3270.24388556934;3371.75928115066;3375.24669912308;3443.01872158389;3229.29901147662;3257.39191522481;3473.4628607271;3452.37858465588;3503.43973285427;3201.6542612039;
EAS;5137.18496585466;5699.91662434853;6525.46384947726;6669.3209556016;7717.8111695757;8886.9519087064;9432.5131499249;9463.4869731702;9686.88350466142;9579.47437135492;9845.91417467033;10442.859498698;11297.7060474172;11477.7610487692;11477.4917283738;
ECA;5279.33901967704;6826.28002994146;8430.33429041673;6595.33735667261;7836.43351199425;9626.4385551604;10149.0129750981;10717.6603584304;9927.5582774143;7557.49969532734;7189.2864598437;8026.77331662083;8213.36006618727;8343.55043110518;7668.99564022782;
ECS;20795.9125685883;24217.6993835869;26535.4059016801;23247.3985159975;23680.2254750128;26191.5579805881;25132.4772979117;26147.6435560879;26388.1615119915;22624.865112175;22455.0718373821;23704.2380136624;25297.6006760146;24906.4022944259;23963.3363407704;
ECU;3328.88415626323;3567.83718649963;4249.01896979445;4231.61923466057;4633.59128443099;5200.55510783504;5682.04610814497;6056.33121253813;6377.09392877257;6124.49088707134;6060.09296156791;6213.50312736888;6295.93466163992;6222.52465327248;5600.38961495341;
 Arab Rep.;1186.39331322717;1397.43669004643;1667.3179980551;2044.52780415176;2331.26884011057;2645.96875877924;2791.81076592794;3229.6856303038;3262.65758647104;3379.55798627058;3562.93265798423;3519.8732398108;2444.29038718448;2537.12518504712;3019.09228346646;3569.20684121108
EMU;33796.5394646881;38717.268125611;42355.1551002282;38580.8460336337;37605.9002389586;40657.6001355346;37595.8770917292;39120.333344785;39912.4423189022;34388.2837816778;35163.6287804862;37153.6503341294;40057.6907488442;39188.4907900385;37994.5479627092;
ERI;415.036030549833;439.8321033782;450.632398910533;595.109987185412;501.355316997143;642.508258796603;;;;;;;;;;
ESP;28389.0785799873;32591.3503065871;35510.7222312701;32169.5028548583;30532.4805081656;31677.9003083652;28322.8092495057;29067.809460022;29500.7894328615;25742.3688346767;26523.3482221547;28170.1678643302;30364.5799435622;29554.4905170087;27056.4217512166;
EST;12639.4000677296;16744.5844516343;18204.9664786762;14711.7352728223;14663.0446126465;17487.8047830922;17403.2053254767;19056.0019226989;20261.0667303886;17402.0376128079;18295.3429322114;20437.765376736;23063.5638175675;23397.8782560944;23054.3584905978;
ETH;194.687432935553;244.286052292978;326.436822761984;380.569003212934;341.554122699663;354.4795719088;467.07787183328;499.531530164228;566.92640288853;640.541923075422;717.124869806118;768.523015429372;771.524866349431;855.760885186903;936.340461064749;
EUU;29093.7784590019;33591.3851191627;37050.4489182588;33484.2059573028;32970.7154673437;35756.3290273508;33158.8921437288;34578.0519280536;35286.1173778772;30485.0288067203;31186.6301136676;33093.7723841644;35752.225378732;35083.707615341;34173.4872628936;
FCS;1453.2483368559;1730.69253557948;2155.11972465457;2005.83394399693;2296.70985914531;2042.12922337723;2249.29681631782;2281.14092688207;2414.41820651273;1878.71340766632;1656.73597085818;1657.34092532114;1770.23105809572;1828.64933768822;1622.19123836069;
FIN;41222.6020004611;48476.3927287052;53772.7942390019;47481.4845364339;46505.3031791811;51148.9316365833;47708.0612784469;49892.2233632732;50327.2402902632;42801.9081167285;43814.0265056965;46412.1364777169;49988.9108461845;48628.641762105;48755.3550062906;
FJI;3715.93265705693;4040.15211916504;4167.69493510221;3362.82049454372;3652.53593320954;4371.44738457557;4591.57701506207;4840.72726987242;5605.60914844185;5390.71420703085;5651.27272132772;6101.02388950081;6317.41372015123;6175.89065331713;5057.63191261761;
FRA;36474.1595859967;41561.2005095485;45519.2968812949;41740.2430343475;40677.9851405443;43848.106054888;40872.3624615688;42605.0443782179;43068.5487241739;36652.9223052178;37062.5335723829;38781.0494870836;41592.795896432;40578.6442850534;39037.1226309074;
FRO;41521.6750574783;47885.6988786829;50863.9537894054;47441.9159808872;48541.4011938484;52092.6033791385;49459.7172338372;54843.3192852206;59433.8345726758;52400.2972763835;56854.102653706;59993.0906266559;62918.1461936121;64225.2649049837;;
 Fed. Sts.;2358.1466999576;2406.11441152466;2458.65839413263;2541.26162493119;2721.97609035554;2885.30549185744;3009.25682468487;3131.38671463839;2994.79239440343;2971.51260191356;2906.61701228808;3014.70035839042;3289.64211697365;3568.291015625;3585.39244888455;3565.293294268
GAB;7221.36987650987;8458.3091787108;10254.1719573595;7721.01895290081;8849.32260799167;10809.6849503904;9813.50574650818;9683.58161951252;9663.42411002585;7384.70070393071;6984.41971208387;7230.43491161979;7959.00726736376;7766.99655422948;6881.71519231831;
GBR;44654.0969208924;50653.2569148306;47549.3486286006;38952.2110262455;39688.6149684498;42284.8844902996;42686.8000524926;43713.8141242308;47787.2412984884;45404.5677734722;41499.5557033073;40857.7555829627;43646.9519711493;43070.4983595888;41059.1688090547;
GEO;1996.05712927664;2635.35388202963;3324.73587905411;2822.66743023352;3233.29594347421;4021.74330617286;4421.81824228013;4623.74572473419;4739.18833846421;4014.18594419329;4062.16988757379;4357.00093554628;4722.78778321766;4697.98365238984;4256.70118558798;
GHA;913.393849309942;1081.16631826269;1217.06443549146;1077.66205832571;1299.34521164062;1549.46271883345;1587.56093185809;2361.09032388366;2012.26424719728;1774.07477092508;1971.95693464599;2074.29073272269;2260.86056729337;2246.62557816432;2205.5290158584;
GIB;;;;;;;;;;;;;;;;
GIN;453.403713310942;659.992930975674;715.096526700444;674.085482596146;672.424930359396;651.136113367998;717.050535937992;769.003166697833;787.238564407157;769.255475432822;732.291511901662;855.575270552124;955.111281136711;1058.14336817356;1194.03786469445;
 The;665.720215700547;662.362877179135;780.381050920518;924.509874593614;833.28136036521;860.636433851486;762.763117720034;742.777628631243;700.516042152833;607.429904651813;660.723571244322;690.780493152792;679.75507172296;732.720727318856;772.045914215139;773.002070135524
GNB;430.003940275091;493.721993219248;599.995237190988;559.414570857329;558.174668134758;703.66056725746;616.37566403413;634.662039138969;623.313091387687;603.399381547733;661.457838679603;738.549944890782;802.767385116156;749.453747028806;727.520171719562;
GNQ;12857.3688248227;15908.4111920336;22942.6101005186;16668.1216976014;17288.84259775;21641.6938980227;21711.1515946043;20390.737273789;19394.0806626191;11283.3980543871;9250.31649333951;9667.8578009346;10005.6167917268;8419.9333361253;7143.23870497146;
GRC;24821.9367451879;28863.9732885018;32127.9831943287;29828.7560245271;26716.6488260274;25483.8825644931;21912.9982879517;21787.7877636035;21616.7100094908;18083.8779056547;17923.9668134716;18582.0893411631;19756.990456255;19133.7577636254;17647.2326882744;
GRD;6658.22358599046;7212.98681909237;7832.34908101916;7290.83493771026;7258.16656084855;7291.74166956273;7444.08907474276;7789.63235505594;8370.04047206067;9096.53865246322;9628.2591689029;10152.8328118872;10466.8822111958;10827.4352905074;9261.55187617696;
GRL;35458.1231210482;39780.9514445753;44367.0556497873;44918.5648770756;43988.3324931946;47186.9814680048;45936.7659516989;47535.5899453685;50484.9275739023;44536.4013080999;48181.874188064;50766.5994182748;54270.8223055238;53041.303310196;;
GTM;2251.08796275499;2490.74912665208;2802.46196190125;2651.81712283814;2852.54732650116;3228.0457411296;3355.03691881272;3522.77370621475;3779.64233613025;3994.63691288475;4173.30166619474;4454.04814983548;4478.42464550944;4638.63494319511;4603.33961670975;
GUM;26713.0583867531;27680.5499597099;29288.7818557946;30320.538585209;31040.0842955613;31210.4702861795;32908.3067691731;33656.4535735436;34843.2055749129;35829.2503598989;36214.0069224538;36601.9198811792;36556.6749110213;38040.5869870588;34624.3401290414;
GUY;3188.67316016589;3658.47996657813;4050.78623700136;4233.76614276173;4580.69876204788;4908.56644826434;5378.81087848265;5489.14072551384;5407.14736611728;5576.82585151355;5811.39792362577;6124.95366998759;6145.81927664377;6609.51127954588;6955.93921717789;
HIC;35560.8523130794;38578.5935374956;40703.1123963919;37886.1455293942;39422.5669892851;42364.0891421835;42142.9967732327;42403.8438240808;43081.2192021299;40478.2673576567;41119.2992695992;42780.5912478395;45246.8996910208;45459.903821336;43934.5486972094;
 China;26649.750801707;28224.2150609389;30594.0178410231;31515.6627713018;30697.340383517;32549.998231121;35142.4879344543;36730.8767001128;38403.7777145477;40315.2855640552;42431.8882817277;43731.1068245299;46165.8565115953;48542.6818699161;48354.473367413;46323.8634424384
HND;1420.13439576879;1572.06488754886;1727.79368172882;1777.27280187503;1891.15858933835;2073.90437014256;2129.52143871807;2088.09720593332;2190.6531391773;2286.20303687333;2326.29727827042;2436.6716359867;2492.86896769136;2556.45689068459;2389.012430771;
HPC;584.156133804935;681.338148878907;788.279817310099;764.390493070719;808.891113456225;871.565617470102;877.229781067631;957.302629884868;984.871839586312;919.247264277593;905.343771056251;948.738998303874;984.860523811389;985.186283834948;968.690499805906;
HRV;11797.4744733882;14046.3168101588;16416.5868076948;14653.0435549819;14067.5231191915;14757.1803401768;13401.6566203283;13837.7316376587;13762.3728630599;11933.3773788281;12527.7398569824;13629.289592247;15227.5600968096;15311.766903695;14132.4865609499;
HTI;804.524511910761;1002.88848691754;1086.93819183192;1183.60485420762;1191.97266373335;1287.95465003201;1337.33594561281;1432.83761766692;1435.13647023104;1386.85419078846;1290.38050812318;1369.06373395137;1479.3458268885;1312.77063606676;1272.36799204205;
HUN;11493.1004118789;13944.9710132004;15777.1920232033;13081.7926445778;13223.0830027699;14240.2575010219;12989.1802815896;13719.9505393621;14298.833667395;12720.7120220668;13107.3779137744;14623.6966492311;16427.3727611478;16735.6597794761;15980.1082258832;
IBD;2684.9923596497;3302.85584302614;3924.5886822301;3769.58098256443;4533.33068847474;5298.8592539728;5574.11372255349;5827.10162889501;5963.15060063502;5534.67856624042;5526.65388488585;6042.98149259717;6366.56267284832;6461.3345446003;6149.46288611467;
IBT;2269.44033500194;2769.66086131946;3279.65417982004;3145.77791291185;3752.44303334097;4322.63907034388;4532.16919274114;4733.56347520586;4841.1219099386;4494.16437544161;4461.24653004746;4840.46533154969;5080.87574857649;5144.34533756254;4891.1476272458;
IDA;849.4420798834;971.027136794512;1132.8403811543;1096.52557528491;1220.82508348255;1197.32106224427;1235.89221708236;1315.01945339436;1375.9443512287;1320.36709104279;1253.71443621009;1268.08995349199;1313.77412004285;1340.36345942875;1310.67281680644;
IDB;1127.15712017822;1269.35990959119;1472.55756045936;1363.4804352245;1556.51604220447;1742.4651819035;1882.60586107378;1997.36860455978;2093.65847247745;1972.07708686918;1795.21245064459;1723.16488620871;1759.49636468312;1777.85106883714;1674.91787065885;
IDN;1589.80148866142;1860.00281113287;2166.85423141608;2261.24730903274;3122.36267319362;3643.04717619274;3694.35933980214;3623.92724054274;3491.63749125449;3331.69511469189;3562.81633352183;3837.57802362633;3893.85957814877;4135.20153132694;3869.58842704537;
IDX;710.93795107389;822.46326549248;963.643541551986;963.674514897408;1053.20688349916;923.499730670823;910.299968231138;970.941697762967;1013.49020691866;990.845739409278;979.687544781209;1037.68958680347;1088.07247384513;1118.85395653545;1126.92943253366;
IMN;42107.8372346818;54196.3017277391;70986.3013336808;65029.0197548044;69767.343364103;77349.2252431953;79148.3322507324;83357.1326843437;92334.6463139171;85126.9704694293;82197.12677026;83477.834285154;89112.6677158571;86481.5525905339;;
IND;806.753280628799;1028.33477194577;998.522341514181;1101.96083821252;1357.5637268318;1458.10406619579;1443.88243476138;1449.61045069641;1573.88564182956;1605.60544457087;1732.55424231659;1980.66701982802;1996.91508739789;2100.75146060805;1927.70782309335;
INX;;;;;;;;;;;;;;;;
IRL;54329.1618599624;61396.417461176;61353.1065629523;52133.0906162544;48655.3661626634;52177.1126832014;49026.0230672702;51533.0345651701;55599.850799684;62012.4849258149;62861.6391157902;69774.0289724953;79107.6049934367;80886.6157387104;85422.5428682266;
 Islamic Rep.;3246.05112244352;3774.35805548168;4904.6661830977;5717.31414752978;5709.94829332501;6599.66093791004;7781.40580096573;7927.84490768322;6018.32289953548;5585.52560393247;4904.32731485169;5253.42656033356;5520.31478213998;3598.48345396129;3114.62275284063;2422.48065682777
IRQ;2373.20944765192;3182.8413509962;4636.63932484705;3853.82862013793;4657.28026921588;6045.4945669195;6836.07399513338;7076.55226525188;6637.68437454551;4688.31801743466;4550.65863784829;4985.45287942996;5915.85085369644;5980.6269179797;4145.86293637602;
ISL;57492.9342498703;69495.7267376825;56943.3704468563;41301.273219718;43237.0729488958;47714.5922308485;45995.5478789467;49804.9829978371;54576.7448146565;52951.6815110898;61987.9263620283;72010.1490316258;74469.8040591559;68941.4622272394;59264.0340913145;
ISR;21853.140239801;24952.5475909074;29650.7702509045;27780.4637181529;30780.0238155167;33775.5120004457;32667.6068723254;36499.4561082284;37847.6499432106;35808.4364289727;37330.261796968;40774.1296073227;42063.4531274811;43951.2477305677;44177.5712248445;
